latitude,longitude,mag
44.7151,-67.4614,50
41.584,-73.8087,1
40.7128,-74.006,1
40.2206,-74.7597,1
40.1529,-76.6027,1
40.5913,-79.9475,1
43.1706,-78.6903,1
38.9072,-77.0369,1
38.9012,-77.2653,1
39.3254,-77.7389,1
38.7135,-77.7953,1
38.4496,-78.8689,1
33.9657,-81.074,1
33.0185,-80.1756,1
26.7153,-80.0534,1
27.4117,-82.4285,1
30.4383,-84.2807,1
31.8913,-85.1455,1
33.749,-84.388,1
34.257,-85.1647,1
34.5261,-83.9844,1
35.9606,-83.9207,1
41.0814,-81.519,1
39.9362,-84.0255,1
38.3243,-85.8738,1
38.5562,-86.4683,1
45.3733,-84.9553,1
42.337,-83.2733,1
41.8781,-87.6298,1
35.2045,-89.874,1
35.1495,-90.049,1
38.0437,-90.624,1
35.8684,-92.1177,1
44.0682,-114.742,1
29.9511,-90.0715,1
33.0198,-96.6989,1
32.7767,-96.797,1
32.4489,-97.7906,1
31.1171,-97.7278,1
30.2672,-97.7431,1
38.8339,-104.8214,1
39.7392,-104.9903,1
40.015,-105.2705,1
48.192,-114.3168,1
45.677,-111.0429,1
40.7608,-111.891,1
36.1699,-115.1398,1
47.6062,-122.3321,1
47.565,-122.627,1
38.5816,-121.4944,1
37.8715,-122.273,1
37.7749,-122.4194,1
35.2828,-120.6596,1
33.5916,-117.6987,1
33.6595,-117.9988,1
34.0522,-118.2437,1
40.7128,-74.006,1
38.8809,-77.3008,1
33.8366,-117.9143,1
38.8048,-77.0469,1
38.8048,-77.0469,1
34.0522,-118.2437,1
47.6062,-122.3321,1
45.2538,-69.4455,1
43.1939,-71.5724,1
44.5588,-72.5778,1
43.2994,-74.2179,1
43.2994,-74.2179,1
43.2994,-74.2179,1
43.2994,-74.2179,1
41.6032,-73.0877,1
41.6032,-73.0877,1
41.5801,-71.4774,1
42.4072,-71.3824,1
42.4072,-71.3824,1
40.0583,-74.4057,1
40.0583,-74.4057,1
40.0583,-74.4057,1
40.0583,-74.4057,1
39.0458,-76.6413,1
39.0458,-76.6413,1
38.8048,-77.0469,1
38.8048,-77.0469,1
37.4316,-78.6569,1
37.4316,-78.6569,1
41.2033,-77.1945,1
41.2033,-77.1945,1
41.2033,-77.1945,1
38.5976,-80.4549,1
35.7596,-79.0193,1
35.7596,-79.0193,1
35.7596,-79.0193,1
33.0185,-80.1756,1
33.8361,-81.1637,1
33.749,-84.388,1
32.1656,-82.9001,1
32.1656,-82.9001,1
27.4989,-82.5748,1
27.6648,-81.5158,1
27.6648,-81.5158,1
27.6648,-81.5158,1
32.3182,-86.9023,1
35.2045,-89.874,1
35.9606,-83.9207,1
35.5175,-86.5804,1
35.5175,-86.5804,1
37.8393,-84.27,1
37.8393,-84.27,1
40.4173,-82.9071,1
40.4173,-82.9071,1
44.3148,-85.6024,1
44.3148,-85.6024,1
44.3148,-85.6024,1
43.7844,-88.7879,1
43.7844,-88.7879,1
43.7844,-88.7879,1
43.7844,-88.7879,1
43.7844,-88.7879,1
40.2672,-86.1339,1
40.6331,-89.3985,1
46.7296,-94.6859,1
46.7296,-94.6859,1
46.7296,-94.6859,1
41.878,-93.0977,1
37.9643,-91.8318,1
37.9643,-91.8318,1
32.3182,-86.9023,1
30.4515,-91.1871,1
30.9843,-91.9623,1
31.9686,-99.9018,1
35.0078,-97.0929,1
35.0078,-97.0929,1
41.4925,-99.9018,1
43.9695,-99.9018,1
43.9695,-99.9018,1
47.5515,-101.002,1
45.677,-111.0429,1
43.076,-107.2903,1
39.5501,-105.7821,1
34.0489,-111.0937,1
34.0489,-111.0937,1
39.321,-111.0937,1
47.7511,-120.7401,1
47.7511,-120.7401,1
43.9041,-120.5542,1
43.9041,-120.5542,1
38.8026,-116.4194,1
34.0522,-118.2437,1
34.0522,-118.2437,1
36.7783,-119.4179,1
36.7783,-119.4179,1
40.2672,-86.1339,1
43.8041,-120.5542,1
43.8041,-120.5542,1
