latitude,longitude,website
37.7790262,-122.4199061,https://www.facebook.com/events/233072681179770/
35.1477774,-114.5682983,https://www.facebook.com/events/309908463461965/
-23.6475942,-46.5101346,https://www.facebook.com/events/965468133920837/
35.1987522,-111.6518229,https://www.facebook.com/events/645952349377788/
41.7728699,-88.1479278,https://www.facebook.com/events/646187252693743/
35.6709727,-80.4742261,https://www.facebook.com/events/692892621260149/
37.5385087,-77.43428,https://www.facebook.com/events/300074711239164/
44.1634663,-93.9993505,https://www.facebook.com/events/334990167549109/
44.0206919,-88.5408574,https://www.facebook.com/events/4222960771109633/
44.1634663,-93.9993505,https://www.facebook.com/events/728314591346991/
44.9391565,-123.033121,https://www.facebook.com/events/337893180582121/
41.6619927,-86.1586156,https://www.facebook.com/events/926218777789942/
44.9504037,-93.1015026,https://www.facebook.com/events/340317426965516/
39.5261206,-119.8126581,https://www.facebook.com/events/347605996240145/
38.9989499,-84.6266111,https://www.facebook.com/events/294408568652605/
35.0841034,-106.6509851,https://www.facebook.com/events/1249173392093237/
38.7877791,-90.6747372,https://www.facebook.com/events/1652914794886101/
51.4353721,-0.9713998,https://www.facebook.com/events/386185109010551/
43.0349931,-87.922497,http://walkawaycampaign.com/
39.7589478,-84.1916069,https://www.facebook.com/events/735618173907219/
40.2663107,-76.8861122,https://www.facebook.com/events/2655544671371888/
39.9527237,-75.1635262,https://livesoverluxury.com/
26.715364,-80.0532942,https://www.facebook.com/events/3129992990451909/
43.06923,-77.298875,https://www.facebook.com/events/337001853974774/
44.9772995,-93.2654692,https://www.facebook.com/events/3344991512224075/
39.7990175,-89.6439575,https://www.facebook.com/events/676182806573099/
28.5552719,-82.3878709,https://www.facebook.com/events/294591831780971/
42.2935152,-75.4792592,https://www.facebook.com/events/1083835002018663/
30.2240897,-92.0198427,https://www.facebook.com/events/220140796014228/
42.2675657,-71.0924273,https://www.jubileeboston.org/codeblue
39.4667025,-87.4139119,https://www.facebook.com/events/1002560030174584/
35.9683856,-78.501778,https://www.facebook.com/events/578496832831371/
33.4709714,-81.9748429,https://www.facebook.com/events/714955775747992/
44.9504037,-93.1015026,https://www.facebook.com/events/635985443987930/
32.7589648,-97.7970748,https://www.facebook.com/events/216955392984100/
41.8755616,-87.6244212,https://www.facebook.com/events/640244793260011/
43.157285,-77.615214,https://www.facebook.com/events/276248123469570/
40.7596198,-111.8867975,https://www.facebook.com/events/306217410623312/
39.1649125,-119.7666496,https://www.facebook.com/events/1189330248080808/
38.8339578,-104.8253485,https://www.facebook.com/events/4124241260979248/
27.9477595,-82.458444,https://www.facebook.com/events/2342738439368251/
42.1617681,-70.7939307,https://www.facebook.com/events/3317686258456056/
40.7596198,-111.8867975,https://www.facebook.com/events/3023671607750245/
29.5491478,-81.21251387,https://www.facebook.com/events/209956297056668/
43.2219088,-87.9822969,https://www.facebook.com/events/611401999773033/
40.385549,-105.0443613,https://www.facebook.com/events/285385382525023/
32.2990384,-90.1847691,https://www.facebook.com/events/738588273569617/
42.3602534,-71.0582912,https://www.facebook.com/events/2643162592621165/
39.9181686,-75.071284,https://www.facebook.com/events/1085355338533158/
44.9772995,-93.2654692,https://www.facebook.com/events/1720852961424510/
41.6786754,-83.5127283,https://www.facebook.com/events/627201074591663/
40.6938609,-89.5891008,https://www.facebook.com/events/636828246936345/
41.9153358,-83.5135665,https://www.facebook.com/events/640774853463341/
39.9527237,-75.1635262,https://refusefascism.org/
39.100105,-94.5781416,http://unitysoutheastinkc.org/
